Entity,Code,GDP per capita
Tuvalu,TUV,3357.8342
Uganda,UGA,862.93463
Ukraine,UKR,2094.4739
United Arab Emirates,ARE,43534.996
United Kingdom,GBR,44964.39
United States,USA,57040.207
United States Virgin Islands,VIR,34007.35
Upper-middle-income countries,,7359.588
Uruguay,URY,17125.902
Uzbekistan,UZB,2803.1902
Vanuatu,VUT,2746.5918
Vietnam,VNM,2577.5688
World,OWID_WRL,10142.144
Yemen,YEM,1362.1738
Zambia,ZMB,1295.8779
Zimbabwe,ZWE,1386.4229
